id,resultId,planningId,actionNo,actionTitle,description,picName,dueDate,completionDate,status,recovery,picDepartment,createdAt
act_011,res_006,pln_005,AAP-006-1,Aktivasi Validasi Periode Promo di Sistem,POS system diupdate agar otomatis memblokir promo di luar periode yang diizinkan.,IT POS Team,2026-03-15,2026-03-10,Closed,150000000,Information Technology,2026-02-28T00:00:00Z
act_012,res_006,pln_005,AAP-006-2,Recovery dari Pelaku,Penagihan recovery Rp 40jt dari karyawan terkait.,Legal & HR,2026-08-01,,Open,0,Legal & Compliance,2026-02-28T00:00:00Z
act_013,res_007,pln_006,AAP-007-1,Wajib Lampirkan Bukti Asli untuk Paid-Out,SOP paid-out diperketat: wajib nota asli + tanda tangan vendor.,Operations Manager,2026-04-01,2026-03-28,Closed,30000000,Operations,2026-03-15T00:00:00Z
act_014,res_007,pln_006,AAP-007-2,Recovery Sisa Outstanding,Recovery Rp 15jt dari karyawan yang terlibat.,Finance & HR,2026-09-15,,Open,0,Finance,2026-03-15T00:00:00Z
act_015,res_009,pln_008,AAP-009-1,Cash Handling Training,Training ulang prosedur cash handling untuk seluruh cashier.,Store Trainer,2026-05-30,2026-05-25,Closed,12000000,Operations,2026-04-30T00:00:00Z
act_016,res_010,pln_009,AAP-010-1,Sanksi Disiplin dan Proses Hukum,Proses disiplin dan pelaporan ke pihak berwenang atas tanda tangan palsu.,HR & Legal,2026-06-30,,Open,0,Human Resources,2026-05-20T00:00:00Z
act_017,res_010,pln_009,AAP-010-2,Recovery Sisa Kerugian,Recovery Rp 20jt dari karyawan yang terlibat melalui mekanisme perdata.,Finance & Legal,2026-12-31,2026-06-10,Closed,20000000,Finance,2026-05-20T00:00:00Z
act_018,res_011,pln_010,AAP-011-1,PHK dan Proses Hukum Pelaku,Proses PHK dan pelaporan ke kepolisian atas tindak pidana oleh karyawan M-019.,HR & Legal Manager,2026-07-01,,Open,0,Human Resources,2026-06-01T00:00:00Z
act_019,res_011,pln_010,AAP-011-2,Review Sistem Otorisasi Void,Evaluasi menyeluruh sistem otorisasi void di semua outlet dan update kebijakan.,Operations & IT,2026-08-01,2026-06-15,Closed,160000000,Operations,2026-06-01T00:00:00Z
act_020,res_012,pln_010,AAP-012-1,Implementasi Digital Shift Report,Migrasi laporan shift dari manual ke sistem digital terintegrasi POS.,IT & Operations,2026-09-01,2026-06-18,Closed,20000000,Operations,2026-06-01T00:00:00Z
act_021,res_014,pln_013,AAP-014-1,Blokir Penambahan Poin oleh Karyawan Sendiri,Update sistem loyalty untuk memblokir penambahan poin ke nomor HP karyawan aktif.,IT Loyalty Team,2026-04-30,2026-04-25,Closed,3600000,Information Technology,2026-03-25T00:00:00Z
act_022,res_014,pln_013,AAP-014-2,Audit Bulanan Transaksi Poin,Implementasi laporan audit otomatis untuk transaksi poin mencurigakan setiap bulan.,Loyalty & Fraud Team,2026-05-15,2026-05-12,Closed,3600000,Marketing,2026-03-25T00:00:00Z
act_023,res_013,pln_011,AAP-013-1,Penggantian Stock Hilang oleh Team Outlet,Pembayaran ganti rugi Rp 8.5jt.,Store Manager,2026-06-15,2026-06-12,Closed,8500000,Operations,2026-06-05T00:00:00Z
act_024,res_015,pln_007,AAP-015-1,Penyusunan Ulang Alur Otorisasi Diskon di POS,Membuat alur otorisasi berjenjang di POS untuk diskon di atas 20%.,IT POS Team,2026-04-10,2026-04-08,Closed,0,Information Technology,2026-03-28T00:00:00Z
act_025,res_015,pln_007,AAP-015-2,Sosialisasi & Memo Penegasan Prosedur Diskon,Mengeluarkan memo penegasan kepatuhan SOP diskon kepada seluruh kepala outlet.,Operations Head,2026-05-01,,Open,0,Operations,2026-03-28T00:00:00Z
act_026,res_016,pln_007,AAP-016-1,Penyediaan Arsip Digital Tanda Terima Delivery,Implementasi e-signature / foto tanda terima di aplikasi rider delivery.,Logistics Project Team,2026-05-15,,Open,0,Supply Chain,2026-03-28T00:00:00Z
act_027,res_017,pln_014,AAP-017-1,Setting Auto-Reminder Laporan Store Manager,Membuat sistem alert otomatis ke email Store Manager jika H+1 belum upload laporan.,IT Dev Team,2026-06-20,2026-06-18,Closed,0,Information Technology,2026-06-15T00:00:00Z
act_028,res_018,pln_014,AAP-018-1,Penarikan Kunci Ruang Server & Update Akses Log Kartu,Melakukan penarikan kunci fisik dari personel tidak berwenang dan mengaktifkan log tap kartu RFID.,GA & Security Manager,2026-06-25,,Open,0,Operations,2026-06-15T00:00:00Z
